# Brightest 1000 stars, derived from the HYG star database
# https://codeberg.org/astronexus/hyg -- CC BY-SA 4.0
# name,ra_hours,dec_deg,mag,ci
Muscida,8.504431,60.718169,3.350,0.856
Del Aql,19.424972,3.114775,3.360,0.319
Eps Lup,15.378021,-44.689622,3.370,-0.191
Ashlesha,8.779587,6.418809,3.380,0.685
Heze,13.578220,-0.595820,3.380,0.114
Meissa,5.585633,9.934158,3.390,-0.160
HD89388,10.284720,-61.332304,3.390,1.541
Minelauva,12.926725,3.397470,3.390,1.571
Zet Cep,22.180908,58.201261,3.390,1.558
Chamukuy,4.477705,15.870883,3.400,0.179
HD,17.172783,-15.726921,3.400,0.650
Gam Phe,1.472759,-43.318234,3.410,1.542
Lam Tau,4.011338,12.490347,3.410,-0.099
Nu Cen,13.825078,-41.687709,3.410,-0.225
Zet Lup,15.204760,-52.099247,3.410,0.918
Eta Cep,20.754811,61.838782,3.410,0.912
Homam,22.691033,10.831364,3.410,-0.086
Mothallah,1.884696,29.578829,3.420,0.488
Eta Lup,16.002036,-38.396706,3.420,-0.206
Mu Her,17.774319,27.720676,3.420,0.750
Bet Pav,20.749314,-66.203212,3.420,0.163
HD79351,9.182804,-58.966896,3.430,-0.190
Adhafera,10.278171,23.417311,3.430,0.307
Lam Aql,19.104150,-4.882554,3.430,-0.096
Tania Borealis,10.284952,42.914365,3.450,0.029
Achird,0.818260,57.815187,3.460,0.587
Eta Cet,1.143164,-10.182264,3.460,1.161
Chi Car,7.946313,-52.982360,3.460,-0.177
Del Boo,15.258376,33.314833,3.460,0.961
Kaffaljidhma,2.721678,3.235818,3.470,0.093
Mu Cen,13.826943,-42.473732,3.470,-0.170
Eta Leo,10.122209,16.762664,3.480,-0.031
Eta Her,16.714933,38.922254,3.480,0.916
Tau Cet,1.734479,-15.937480,3.490,0.727
Nganurganity,7.028652,-27.934830,3.490,1.729
Alula Borealis,11.307983,33.094306,3.490,1.400
Nekkar,15.032436,40.390566,3.490,0.956
Alp Tel,18.449561,-45.968459,3.490,-0.179
Eps Gru,22.809239,-51.316864,3.490,0.083
Kap CMa,6.830683,-32.508478,3.500,-0.116
Wasat,7.335383,21.982320,3.500,0.374
Iot Cep,22.828020,66.200408,3.500,1.053
Gam Sge,19.979285,19.492148,3.510,1.571
Sadalbari,22.833385,24.601579,3.510,0.933
Rana,3.720806,-9.763395,3.520,0.915
Subra,9.685843,9.892308,3.520,0.516
Phi Vel,9.947708,-54.567790,3.520,-0.067
Sheliak,18.834665,33.362667,3.520,0.003
Xi-2 Sgr,18.962167,-21.106654,3.520,1.151
Biham,22.169996,6.197865,3.520,0.086
Gam Vir,12.694171,-1.449235,3.520,0.650
Ain,4.476943,19.180431,3.530,1.014
Tarf,8.275256,9.185545,3.530,1.481
Xi Hya,11.550038,-31.857625,3.540,0.947
Mu Ser,15.827002,-3.430208,3.540,-0.036
Xi Ser,17.626445,-15.398557,3.540,0.262
Ups-4 Eri,4.298237,-33.798348,3.550,-0.108
Zet Lep,5.782595,-14.821950,3.550,0.104
Iot Lup,14.323396,-46.058093,3.550,-0.184
Chi Dra,18.350736,72.732843,3.550,0.489
Del Pav,20.145157,-66.182068,3.550,0.751
Iot Cet,0.323799,-8.823921,3.560,1.214
Phi Eri,2.275154,-51.512165,3.560,-0.120
Del Crt,11.322347,-14.778541,3.560,1.112
Pipirima,16.872263,-38.017536,3.560,-0.210
Kap Gem,7.740793,24.397993,3.570,0.932
Alkaphrah,9.060427,47.156525,3.570,0.007
Rho Boo,14.530500,30.371437,3.570,1.298
Phi-1 Lup,15.363440,-36.261376,3.570,1.534
Lam Gem,7.301550,16.540383,3.580,0.106
Algedi,20.300904,-12.544852,3.580,0.883
Nembus,1.633205,48.628213,3.590,1.275
Tau Ori,5.293442,-6.844409,3.590,-0.115
Gam Lep,5.741057,-22.448382,3.590,0.481
Zavijava,11.844922,1.764718,3.590,0.518
Ginan,12.356031,-60.401147,3.590,1.389
The Cet,1.400390,-8.183257,3.600,1.065
The Gem,6.879816,33.961254,3.600,0.102
Omi Vel,8.671554,-52.921887,3.600,-0.168
Psi Vel,9.511674,-40.466769,3.600,0.371
Ups Lib,15.617070,-28.135079,3.600,1.361
Del Ara,17.518318,-60.683848,3.600,-0.104
Bharani,2.833063,27.260507,3.610,-0.100
Omi Tau,3.413554,9.028870,3.610,0.887
Lam Hya,10.176467,-12.354083,3.610,1.007
Del Mus,13.037759,-71.548855,3.610,1.190
Eta Pav,17.762221,-64.723871,3.610,1.161
Alpherg,1.524725,15.345823,3.620,0.974
Atlas,3.819373,24.053415,3.620,-0.070
HD63032,7.754249,-37.968584,3.620,1.706
Zet-2 Sco,16.909731,-42.361313,3.620,1.393
Omi And,23.032017,42.325979,3.620,-0.099
Lam Mus,11.760141,-66.728763,3.630,0.160
Rotanev,20.625816,14.595087,3.640,0.425
